arm_idx,step,actual_q,expected_q,loop_time,robot_mode,safety_mode
0,-1,"[-0.013535721597326855, -1.5843320483922216, -0.013535721597326855, -0.013535721597326855, -0.013535721597326855, -0.013535721597326855]","[0.0, -1.5707963267948966, 0.0, 0.0, 0.0, 0.0]",0.002,7,1
0,-1,"[-0.013414554930660572, -1.5842108817255554, -0.013414554930660572, -0.013414554930660572, -0.013414554930660572, -0.013414554930660572]","[0.0, -1.5707963267948966, 0.0, 0.0, 0.0, 0.0]",0.002,7,1
0,-1,"[-0.013254288263993885, -1.5840506150588887, -0.013254288263993885, -0.013254288263993885, -0.013254288263993885, -0.013254288263993885]","[0.0, -1.5707963267948966, 0.0, 0.0, 0.0, 0.0]",0.002,7,1
0,-1,"[-0.01239028826399391, -1.5831866150588887, -0.01239028826399391, -0.01239028826399391, -0.01239028826399391, -0.01239028826399391]","[0.0, -1.5707963267948966, 0.0, 0.0, 0.0, 0.0]",0.002,7,1
0,-1,"[-0.01162028826399375, -1.5824166150588885, -0.01162028826399375, -0.01162028826399375, -0.01162028826399375, -0.01162028826399375]","[0.0, -1.5707963267948966, 0.0, 0.0, 0.0, 0.0]",0.002,7,1
0,-1,"[-0.010654288263993728, -1.5814506150588894, -0.010654288263993728, -0.010654288263993728, -0.010654288263993728, -0.010654288263993728]","[0.0, -1.5707963267948966, 0.0, 0.0, 0.0, 0.0]",0.002,7,1
0,-1,"[-0.009320863406023783, -1.5801171902009195, -0.009320863406023783, -0.009320863406023783, -0.009320863406023783, -0.009320863406023783]","[0.0, -1.5707963267948966, 0.0, 0.0, 0.0, 0.0]",0.002,7,1
0,-1,"[-0.008012277529137357, -1.578808604324033, -0.008012277529137357, -0.008012277529137357, -0.008012277529137357, -0.008012277529137357]","[0.0, -1.5707963267948966, 0.0, 0.0, 0.0, 0.0]",0.002,7,1
0,-1,"[-0.007036495038056145, -1.5778328218329518, -0.007036495038056145, -0.007036495038056145, -0.007036495038056145, -0.007036495038056145]","[0.0, -1.5707963267948966, 0.0, 0.0, 0.0, 0.0]",0.002,7,1
0,-1,"[-0.006054813969221584, -1.5768511407641181, -0.006054813969221584, -0.006054813969221584, -0.006054813969221584, -0.006054813969221584]","[0.0, -1.5707963267948966, 0.0, 0.0, 0.0, 0.0]",0.002,7,1
0,-1,"[-0.004534255217359728, -1.5753305820122554, -0.004534255217359728, -0.004534255217359728, -0.004534255217359728, -0.004534255217359728]","[0.0, -1.5707963267948966, 0.0, 0.0, 0.0, 0.0]",0.002,7,1
0,-1,"[-0.0027106831267094122, -1.573507009921606, -0.0027106831267094122, -0.0027106831267094122, -0.0027106831267094122, -0.0027106831267094122]","[0.0, -1.5707963267948966, 0.0, 0.0, 0.0, 0.0]",0.002,7,1
0,-1,"[-0.0019100567802752266, -1.572706383575171, -0.0019100567802752266, -0.0019100567802752266, -0.0019100567802752266, -0.0019100567802752266]","[0.0, -1.5707963267948966, 0.0, 0.0, 0.0, 0.0]",0.002,7,1
0,-1,"[-0.0008162418118109471, -1.5716125686067075, -0.0008162418118109471, -0.0008162418118109471, -0.0008162418118109471, -0.0008162418118109471]","[0.0, -1.5707963267948966, 0.0, 0.0, 0.0, 0.0]",0.002,7,1
0,-1,"[-0.00037217774096998113, -1.5711685045358665, -0.00037217774096998113, -0.00037217774096998113, -0.00037217774096998113, -0.00037217774096998113]","[0.0, -1.5707963267948966, 0.0, 0.0, 0.0, 0.0]",0.002,7,1
0,-1,"[-6.29323845595664e-05, -1.5708592591794561, -6.29323845595664e-05, -6.29323845595664e-05, -6.29323845595664e-05, -6.29323845595664e-05]","[0.0, -1.5707963267948966, 0.0, 0.0, 0.0, 0.0]",0.002,7,1
0,-1,"[-1.263793045325201e-06, -1.5707975905879419, -1.263793045325201e-06, -1.263793045325201e-06, -1.263793045325201e-06, -1.263793045325201e-06]","[0.0, -1.5707963267948966, 0.0, 0.0, 0.0, 0.0]",0.002,7,1
