2026-06-03 16:27:17,625 | INFO | step=-1 | Run dir: .\logs\rsl_rl\boxlift\2026-06-02_22-26-01\, action_scale: 0.1, action_mode: A, use_ref: True, obs_history_steps: 3, include_object_obs: False, future_obs_steps: (1, 2, 3, 4, 5), include_prev_actions: False, include_absolute_obs: False, enable_phase_slowdown: False, dphase_min: 0.5, eff_alpha: 1.000 (force_alpha=-1.0, action_alpha_floor=1.0), trajectory: reference_trajectories/box_lift_ur5e/traj_full_refined_20260527_171906_cubic.npz
2026-06-03 16:27:17,625 | INFO | step=-1 | [--use_ref] Policy bypassed: commanding joints_target directly. ONNX inference still runs (output discarded) so obs construction stays exercised, but action_scale and action_mode have no effect.
2026-06-03 16:27:17,645 | INFO | step=-1 | Loading model
2026-06-03 16:27:17,845 | INFO | step=-1 | Loading reference trajectory file
2026-06-03 16:27:17,861 | INFO | step=-1 | Trajectory loaded (dual arm). Total frames: 1461
2026-06-03 16:27:17,861 | INFO | step=-1 | Launching pose estimation subprocess: C:\Users\ArniB\ETH\Thesis\BoxLift\tag_pose_estimation\scripts\run_pose_estimation.py --config config/pose_estimation_configs/bigbox_pose_estimation_config.json (cwd=C:\Users\ArniB\ETH\Thesis\BoxLift\tag_pose_estimation)
2026-06-03 16:27:17,877 | INFO | step=-1 | Connecting to left arm at 192.168.1.33
2026-06-03 16:27:18,034 | INFO | step=-1 | Left arm connected
2026-06-03 16:27:18,034 | INFO | step=-1 | Connecting to right arm at 192.168.1.66
2026-06-03 16:27:18,177 | INFO | step=-1 | Right arm connected
2026-06-03 16:27:18,177 | INFO | step=-1 | Connection established
2026-06-03 16:27:18,177 | INFO | step=-1 | Resetting robot state
2026-06-03 16:27:18,472 | INFO | step=-1 | [left] moveJ to initial position [ 3.14159265 -1.57079633  0.          0.          0.          0.        ]
2026-06-03 16:27:18,472 | INFO | step=-1 | [right] moveJ to initial position [ 3.14159265 -1.57079633  0.          0.          0.          0.        ]
2026-06-03 16:27:23,454 | INFO | step=-1 | moveJ finished to initial positions
2026-06-03 16:27:23,486 | INFO | step=-1 | Waiting up to 5s for first box pose...
2026-06-03 16:27:23,487 | INFO | step=-1 | First box pose received: [-0.04464864  0.07175661  0.14508244  0.9996889  -0.01724879 -0.00809213
  0.01609679]
2026-06-03 16:27:36,761 | ERROR | step=6599 | [left] Robot left NORMAL safety mode. safety_mode=7
2026-06-03 16:27:36,761 | ERROR | step=6599 | servoJ exception: Robot safety event
2026-06-03 16:27:36,761 | INFO | step=-1 | Stopping servo
2026-06-03 16:27:36,819 | INFO | step=-1 | Execution finished. Log written to .\logs\rsl_rl\boxlift\2026-06-02_22-26-01\ur_rtde_logs\2026-06-03_16-27-17_gain100.0_la0.15_real_useref.log
2026-06-03 16:27:36,915 | INFO | step=-1 | Tracking data saved to .\logs\rsl_rl\boxlift\2026-06-02_22-26-01\ur_rtde_logs\2026-06-03_16-27-17_gain100.0_la0.15_real_useref.npz (6600 ctrl steps, 661 policy steps)
